idx_uid,idx_context,uid,context,m_day,m_pattern1,m_pattern2,m_pattern3,m_pattern4,m_pattern_day1,m_pattern_day2,m_pattern_day3,m_pattern_day4,m_slide_pattern,m_pattern_day_obs,m_pattern_adapt,std_day,std_slide_pattern,std_pattern_day_obs,std_pattern_adapt,md_day,md_slide_pattern,md_pattern_day_obs,md_pattern_adapt
u17,MONDAY_,u17,MONDAY_,0.2777541657175104,0.2777541657175104,0.4544753086419753,0.5058275058275059,0.48,0.2777541657175104,0.3220374192809404,0.3453485245681253,0.34012506012506016,0.7093253968253967,0.2789571987152632,0.5058275058275059,0.09200092906856223,0.19203284633508547,0.08120351926990418,0.09889605331280388,0.30842391304347827,0.6666666666666666,0.2636363636363636,0.5058275058275059
u17,TUESDAY_,u17,TUESDAY_,0.3197908859977826,0.3197908859977826,0.4064495530012771,0.33546798029556646,0.43333333333333335,0.3197908859977826,0.35284086752980764,0.35553728737871965,0.35056849597179435,0.6404072249589491,0.35740562364603284,0.33546798029556646,0.13999050153970174,0.11225926594155063,0.11122822721925228,0.11076845143710451,0.34404761904761905,0.6666666666666666,0.3764705882352941,0.33546798029556646
u17,WEDNESDAY_,u17,WEDNESDAY_,0.35935229753544284,0.35935229753544284,0.49164222873900293,0.5174107142857143,0.5666666666666667,0.35935229753544284,0.4004578754578755,0.4289987160245781,0.427984526288197,0.6392839209342248,0.334954304954305,0.5285714285714286,0.06883613015545717,0.16644475434958603,0.16578136259254025,0.14142135623730953,0.375,0.6403726708074534,0.23333333333333334,0.5285714285714286
u17,THURSDAY_,u17,THURSDAY_,0.32623264435142807,0.32623264435142807,0.39500775405947824,0.5,0.6071428571428571,0.32623264435142807,0.3551220864600021,0.39171360040925257,0.3568854248581724,0.6397673531655225,0.41426860176860175,0.5,0.1404291436457057,0.13933334175591974,0.15877014100418876,0.0,0.3076923076923077,0.6695652173913043,0.45454545454545453,0.5
u17,FRIDAY_,u17,FRIDAY_,0.23933626526875956,0.23933626526875956,0.4334967320261438,0.5412087912087912,0.5517241379310345,0.23933626526875956,0.27715447068895344,0.3414286065148134,0.30862752384491515,0.6833287545787545,0.2533055976991904,0.6126373626373627,0.08365603994391918,0.06041982521339863,0.11431187962998109,0.058278031416473725,0.22252747252747251,0.65625,0.27046783625730997,0.6126373626373627
u17,SATURDAY_,u17,SATURDAY_,0.29461874076687317,0.29461874076687317,0.45765582655826553,0.6327913279132791,0.4074074074074074,0.29461874076687317,0.34019372440425066,0.3803893760630331,0.2887861708295144,0.6542413793103449,0.32178785941253973,0.594017094017094,0.15659571278130288,0.1079276406257686,0.11814081085274264,0.25987685120531234,0.2942583732057416,0.625,0.3557312252964427,0.594017094017094
u17,SUNDAY_,u17,SUNDAY_,0.2075484639629376,0.2075484639629376,0.31746031746031744,0.3994047619047619,0.5714285714285714,0.2075484639629376,0.23956299911268855,0.3067800124002171,0.25874847374847376,0.6403679653679653,0.15280764635603344,0.3994047619047619,0.16614336926575438,0.1402071836156673,0.08726282286988608,0.2011887151233153,0.13392857142857142,0.625,0.15564516129032258,0.3994047619047619
u19,MONDAY_,u19,MONDAY_,0.3005585281982798,0.3005585281982798,0.71875,0.5,0.6875,0.3005585281982798,0.47220005409660576,0.40119177596596944,0.43639162561576356,0.6708994708994709,0.39902248289345066,0.5,0.06364932705631589,0.13106963912723427,0.04723531235561759,,0.2962962962962963,0.6917989417989419,0.4090909090909091,0.5
u19,TUESDAY_,u19,TUESDAY_,0.5800744390300417,0.5754661440991662,0.6541836608577432,0.7,0.7333333333333333,0.5800744390300417,0.5744583768721699,0.6374742209329659,0.6698275862068965,0.7544444444444445,0.6067037449017426,0.7,0.09548662558301323,0.06780509467729938,0.034585412207022714,,0.5384615384615384,0.7388888888888889,0.6,0.7
u19,WEDNESDAY_,u19,WEDNESDAY_,0.3112326761210653,0.3112326761210653,0.4831415011777792,0.6457373271889402,0.5862068965517241,0.3112326761210653,0.34700803649302914,0.4017038425905421,0.3526253714425758,0.7637436351482051,0.36103065754228547,0.7299107142857143,0.20567126796823565,0.1043306401568154,0.1937492088265907,0.07260471413969012,0.37037037037037035,0.7298387096774194,0.4444444444444444,0.7299107142857143
u19,THURSDAY_,u19,THURSDAY_,0.2603217315562282,0.26355839930902497,0.2934082767722474,0.5791666666666666,0.7419354838709677,0.26200523323972985,0.21193924308853976,0.324214454849019,0.3012584529547822,0.5397638882171818,0.3028696414885673,0.6512096774193548,0.24561725596406636,0.3668757438037453,0.28225132833611294,0.03706608127187544,0.3235294117647059,0.6995967741935484,0.29411764705882354,0.6512096774193548
u19,FRIDAY_,u19,FRIDAY_,0.3492760701456354,0.3492760701456354,0.5897177419354839,0.5,0.6206896551724138,0.3492760701456354,0.4638276926351639,0.44785340107920757,0.48281209891332255,0.7188685388685389,0.39582748948106594,0.5,0.12116597514501258,0.10564384556614102,0.05871340795692683,,0.30434782608695654,0.7446153846153847,0.41935483870967744,0.5
u19,SATURDAY_,u19,SATURDAY_,0.2708323909273854,0.2708323909273854,0.47316912972085384,0.35714285714285715,0.4642857142857143,0.2708323909273854,0.32349206349206344,0.27740740740740744,0.3647995522995523,0.6064859053989489,0.2597883597883598,0.35714285714285715,0.18155190918762742,0.174610531110893,0.18918026227842186,,0.2777777777777778,0.6648351648351649,0.25925925925925924,0.35714285714285715
u19,SUNDAY_,u19,SUNDAY_,0.12721900254354615,0.12721900254354615,0.29605263157894735,0.18333333333333335,0.48148148148148145,0.12721900254354615,0.23331608005521048,0.13733546646590125,0.22974987974987976,0.612280701754386,0.0579520697167756,0.18333333333333335,0.16102476102978858,0.3566838606154124,0.061021627774121644,0.0235702260395516,0.04380952380952381,0.75,0.05718954248366013,0.18333333333333335
u23,MONDAY_,u23,MONDAY_,0.3248764463050177,0.3248764463050177,0.5249554367201426,0.5,0.5625,0.3248764463050177,0.38974008819323064,0.41119173929518754,0.37788825757575756,0.6753804797353185,0.42294871794871797,0.5,0.07643421938603258,0.10068089153948362,0.02155028674161036,,0.3333333333333333,0.7040942928039702,0.4166666666666667,0.5
u23,TUESDAY_,u23,TUESDAY_,0.3025781327023563,0.3025781327023563,0.45846560846560847,0.5161290322580645,0.4666666666666667,0.3025781327023563,0.3391529967616924,0.38790476190476186,0.31865763546798026,0.6673655913978495,0.2767729468599034,0.5161290322580645,0.10644180064484224,0.10878736114497704,0.09884940058202576,,0.2857142857142857,0.6933333333333334,0.2777777777777778,0.5161290322580645
u23,WEDNESDAY_,u23,WEDNESDAY_,0.22406123584669604,0.22665021865389515,0.4404502541757444,0.5186274509803921,0.4594594594594595,0.22486768745959926,0.27285475480514787,0.31784499849015974,0.3337404214559387,0.690014367816092,0.25639430014430015,0.5186274509803921,0.13403809450422727,0.1578714632769473,0.11036568376991719,0.06793771034929574,0.21215880893300249,0.6896551724137931,0.23863636363636365,0.5186274509803921
u23,THURSDAY_,u23,THURSDAY_,0.25167185977718215,0.25167185977718215,0.40193150139386696,0.49862637362637363,0.6551724137931034,0.25167185977718215,0.2766420361247947,0.3330851247517914,0.33147053457398284,0.6471904761904762,0.3056565656565657,0.49862637362637363,0.09840179000096286,0.1201924005581361,0.1050955535080019,0.0524502282748263,0.2629310344827586,0.6666666666666666,0.2727272727272727,0.49862637362637363
u23,FRIDAY_,u23,FRIDAY_,0.32510917653774796,0.32510917653774796,0.5095068330362449,0.4166666666666667,0.45714285714285713,0.32510917653774796,0.363019998170165,0.3029516923565867,0.36353958025862676,0.6371085903343967,0.30142040091065575,0.4166666666666667,0.08372138721942478,0.06754340009082462,0.05969868502159319,,0.3,0.6231182795698924,0.27586206896551724,0.4166666666666667
u23,SATURDAY_,u23,SATURDAY_,0.3024157519499134,0.3024157519499134,0.6170083774250441,0.5757575757575758,0.6,0.3024157519499134,0.41107253086419754,0.42973484848484844,0.38247863247863245,0.6471072134387351,0.33549783549783546,0.5757575757575758,0.11909928624106057,0.15590340197801728,0.12026933618711193,,0.30434782608695654,0.5994318181818181,0.2916666666666667,0.5757575757575758
u23,SUNDAY_,u23,SUNDAY_,0.2862753036437247,0.2862753036437247,0.5684072871572871,0.6333333333333333,0.7586206896551724,0.2862753036437247,0.3882035033314232,0.4434165929855586,0.42759547645532076,0.7166666666666666,0.34046031746031746,0.6333333333333333,0.07180026589783858,0.09622504486493767,0.10698313197219925,,0.2631578947368421,0.7166666666666667,0.375,0.6333333333333333
u27,MONDAY_,u27,MONDAY_,0.40018425048666983,0.39047781109273044,0.5042871107387237,0.5397321428571429,0.6875,0.398053568668488,0.49670393235664173,0.5643480430245136,0.5876710654936461,0.7019585253456221,0.524440537084399,0.5397321428571429,0.16870599448228688,0.16361868614176034,0.13492928974024476,0.07639278618176094,0.4147727272727273,0.625,0.5224637681159421,0.5397321428571429
u27,TUESDAY_,u27,TUESDAY_,0.40737362609163646,0.40737362609163646,0.5088282013685239,0.5166666666666666,0.4838709677419355,0.40737362609163646,0.4548715538847118,0.44995590828924165,0.48177604746014085,0.6193219764386813,0.435235638114895,0.5166666666666666,0.12311000152411605,0.08070748323961781,0.12348666795624158,0.02357022603955158,0.44791666666666663,0.6086956521739131,0.38921568627450975,0.5166666666666666
u27,WEDNESDAY_,u27,WEDNESDAY_,0.3189919250225494,0.3114697658550021,0.4635416666666667,0.546875,0.696969696969697,0.7527732075856199,0.34709111662361963,0.41962409732153894,0.4511249295007735,0.645136579044625,0.36770686408573355,0.546875,0.10947178136726379,0.1613539606741733,0.139275947944334,0.06629126073623882,0.30434782608695654,0.6005291005291005,0.3235294117647059,0.546875
u27,THURSDAY_,u27,THURSDAY_,0.45481337882547557,0.45422948807854135,0.4875188668292117,0.5691287878787878,0.6666666666666666,0.4540120967741935,0.4933832680376459,0.5152257137560252,0.5411187600644122,0.6571158008658009,0.5174717388809436,0.5691287878787878,0.08215276813382082,0.05664120293169028,0.10339824163188863,0.00937452172027623,0.44487179487179485,0.6785714285714286,0.5092364532019704,0.5691287878787878
u27,FRIDAY_,u27,FRIDAY_,0.3912945505130663,0.3912945505130663,0.5115866174055829,0.666871921182266,0.6774193548387096,0.3912945505130663,0.39790528099351624,0.4692593206601827,0.5006315778215111,0.6472778690020069,0.38650519978106185,0.6379310344827587,0.12088946012461668,0.06573154270377733,0.11328958345265723,0.024382992454708506,0.3782467532467533,0.6551724137931034,0.40689655172413797,0.6379310344827587
u27,SATURDAY_,u27,SATURDAY_,0.37397959183673474,0.37397959183673474,0.5491358024691358,0.37037037037037035,0.5714285714285714,0.37397959183673474,0.4554819728183046,0.4348454878454879,0.4026923076923077,0.6901952214452215,0.4529361942405421,0.37037037037037035,0.13475087693154075,0.15896017676026353,0.06002487017405788,,0.35,0.740530303030303,0.45454545454545453,0.37037037037037035
u27,SUNDAY_,u27,SUNDAY_,0.5457620459250894,0.5457620459250894,0.6325000000000001,0.7708333333333333,0.6818181818181818,0.5457620459250894,0.589407114624506,0.6145624303232999,0.5445902503293808,0.7467142857142857,0.6001262626262627,0.7291666666666666,0.062292141151453026,0.06155565481298836,0.1444253492711394,0.08838834764831845,0.543560606060606,0.7916666666666666,0.6041666666666667,0.7291666666666666
u30,MONDAY_,u30,MONDAY_,0.5100110581672282,0.4979407851641949,0.6204481792717087,0.5259103641456583,0.7419354838709677,0.5100110581672282,0.5246212121212122,0.5361070399841983,0.4972444490992878,0.6993187125967012,0.5182476359338062,0.5397456279809221,0.12924902337081237,0.10902915112029327,0.14036610893331394,0.15176377656627016,0.49,0.6774193548387096,0.58125,0.5397456279809221
